city,co,humidity,lpg,smoke,temp
Chennai,0.0043435076691940005,78.0,0.006954528044554,0.018433342575614,27.0
Bengaluru,0.0028400886071020003,74.5999984741211,0.005114383400977,0.013274836704852,19.6000003814697
Hyderabad,0.004970255764419,48.8,0.007666804798117,0.020456819607064,22.1
Hyderabad,0.0049917626654190006,48.8,0.007690789541027,0.020525187190379,22.1
Hyderabad,0.00503095705185,49.4,0.007734426215548,0.020649609103928,22.0
Chennai,0.004302587482354,77.9000015258789,0.006907069601024001,0.018299006133198,27.0
Chennai,0.004351368546726,78.0999984741211,0.006963630750832,0.018459115963671,27.0
Hyderabad,0.005009158748251,50.5,0.007710168947434,0.020580438061257,22.1
Bengaluru,0.0028400886071020003,75.0999984741211,0.005114383400977,0.013274836704852,19.5
Bengaluru,0.0028400886071020003,75.0999984741211,0.005114383400977,0.013274836704852,19.5
Bengaluru,0.0028400886071020003,75.3000030517578,0.005114383400977,0.013274836704852,19.5
Chennai,0.004391003954583,77.9000015258789,0.007009458543139,0.018588907540051,27.0
Hyderabad,0.005023610333571,51.0,0.007726254002298,0.02062630389732,22.2
Chennai,0.00423758497386,78.0,0.006831423312121,0.018085011075164,27.0
Bengaluru,0.0027928260727190005,75.3000030517578,0.005052672065733,0.013103808918997,19.5
Chennai,0.004367173233937999,77.9000015258789,0.006981918445414999,0.018510902653683,27.0
Hyderabad,0.005044091516041,50.9,0.00774902827966,0.020691254893558,22.3
Bengaluru,0.0028400886071020003,75.4000015258789,0.005114383400977,0.013274836704852,19.5
Hyderabad,0.005061691906549,50.7,0.007768578800714002,0.020747022297237,22.3
Bengaluru,0.0027928260727190005,75.5999984741211,0.005052672065733,0.013103808918997,19.6000003814697
Bengaluru,0.002700982969359,75.5999984741211,0.004931917501736,0.012769561138108,19.6000003814697
Chennai,0.004279504098783,78.0999984741211,0.006880242885696,0.018223097918814,27.0
Hyderabad,0.005041155209285999,50.9,0.007745764793744,0.020681946810007,22.4
Chennai,0.004341544997156,77.6999969482422,0.006952254607111,0.018426905927295,27.0
Bengaluru,0.002700982969359,75.8000030517578,0.004931917501736,0.012769561138108,19.6000003814697
Hyderabad,0.005044091516041,51.2,0.00774902827966,0.020691254893558,22.5
Bengaluru,0.002700982969359,75.8000030517578,0.004931917501736,0.012769561138108,19.6000003814697
Chennai,0.0046851125182,78.3000030517578,0.007346031467219,0.019543886360381003,27.0
Chennai,0.004279504098783,77.9000015258789,0.006880242885696,0.018223097918814,27.0
Bengaluru,0.00265636423218,75.9000015258789,0.004872844318333,0.012606249291768998,19.6000003814697
Hyderabad,0.005038231507637,51.1,0.007742514795029998,0.020672677460255,22.6
Chennai,0.004375100276754001,78.0,0.006991083977128,0.018536860885038,27.0
Chennai,0.00424514499594,77.9000015258789,0.006840237652460999,0.01810993759647,27.0
Bengaluru,0.00265636423218,76.1999969482422,0.004872844318333,0.012606249291768998,19.7000007629395
Bengaluru,0.002612589347788,76.1999969482422,0.004814621044662,0.012445419108693996,19.7000007629395
Chennai,0.00424514499594,77.5999984741211,0.006840237652460999,0.01810993759647,27.0
Chennai,0.004333721216414,77.5999984741211,0.0069431891982130005,0.018401241001347,26.899999618530305
Bengaluru,0.002612589347788,76.0999984741211,0.004814621044662,0.012445419108693996,19.7000007629395
Hyderabad,0.005054336113637,51.1,0.007760410273686,0.020723720599895,22.5
Bengaluru,0.002700982969359,76.1999969482422,0.004931917501736,0.012769561138108,19.7000007629395
Chennai,0.004435377401685,78.4000015258789,0.007060629093215,0.01873389902191,27.0
Hyderabad,0.005044091516041,51.1,0.00774902827966,0.020691254893558,22.6
Hyderabad,0.005020761660027,51.1,0.007723084355698001,0.020617265272068003,22.6
Bengaluru,0.002612589347788,76.3000030517578,0.004814621044662,0.012445419108693996,19.7000007629395
Chennai,0.004256562731606,77.9000015258789,0.006853541532425,0.018147564461862,26.899999618530305
Chennai,0.004302587482354,77.8000030517578,0.006907069601024001,0.018299006133198,27.0
Bengaluru,0.00265636423218,76.0999984741211,0.004872844318333,0.012606249291768998,19.7000007629395
